Title,Body,Epic,Priority,Status
Register with email and password,"As a new user, I want to create an account with my email and password so that I can use GearGuardian.",Accounts,Must Have,Ready
Verify email address,"As a newly registered user, I want to verify my email address so that my account is activated securely.",Accounts,Must Have,Ready
Resend verification email,"As a user, I want to request another verification email if the previous one expired or did not arrive.",Accounts,Should Have,Backlog
Sign in with email and password,"As a verified user, I want to sign in with my email and password so that I can access my groups and checklists.",Accounts,Must Have,Ready
Sign in with SSO,"As a user, I want to sign in with a supported SSO provider so that I can access GearGuardian without another password.",Accounts,Should Have,Backlog
Connect SSO to an existing account,"As a signed-in user, I want to connect an SSO provider to my existing account so that both sign-in methods use the same data.",Accounts,Should Have,Backlog
Resolve an existing account during SSO sign-in,"As a user whose SSO email matches an existing account, I want guidance for securely linking the accounts instead of creating a duplicate.",Accounts,Should Have,Backlog
Request a password reset,"As a user who forgot my password, I want to request a reset link by email so that I can recover access.",Accounts,Must Have,Ready
Set a new password,"As a user with a valid reset link, I want to set a new password so that I can sign in again.",Accounts,Must Have,Ready
Manage connected sign-in methods,"As a user, I want to see and manage my connected sign-in methods so that I understand how I can access my account.",Accounts,Could Have,Backlog
Sign out from the current device,"As a signed-in user, I want to sign out securely from the current device.",Accounts,Must Have,Ready
Create a sport profile,"As an athlete, I want to create a profile for a sport so that my equipment can be organized by activity.",Checklists,Must Have,Ready
Choose an activity type,"As an athlete, I want to distinguish training, competition, casual play, and travel so that the checklist fits the event.",Checklists,Should Have,Backlog
Create a personal equipment checklist,"As an athlete, I want to create a personal equipment checklist so that I do not forget essential items.",Checklists,Must Have,Ready
Add a custom equipment item,"As an athlete, I want to add equipment that is not in the default suggestions.",Checklists,Must Have,Ready
Edit an equipment item,"As an athlete, I want to change an item's name, quantity, category, or importance.",Checklists,Should Have,Backlog
Remove an equipment item,"As an athlete, I want to remove an item that is no longer needed.",Checklists,Should Have,Backlog
Mark an item as mandatory,"As an athlete, I want to mark an item as mandatory so that I am warned before leaving without it.",Checklists,Must Have,Ready
Save a reusable checklist,"As an athlete, I want to save a checklist as a reusable template for future sessions.",Checklists,Should Have,Backlog
Duplicate a checklist,"As an athlete, I want to duplicate a checklist so that I can adapt it without starting from scratch.",Checklists,Could Have,Backlog
Create a group,"As an athlete, I want to create a team or activity group so that members can coordinate equipment.",Groups,Must Have,Ready
Join a group using a shareable link,"As an invited athlete, I want to join a group through a link so that joining is quick.",Groups,Must Have,Ready
Join a group using a QR code,"As an invited athlete, I want to scan a QR code and join the correct group.",Groups,Must Have,Ready
Review a group invitation before joining,"As an invited athlete, I want to see the group name, activity, and member count before accepting.",Groups,Should Have,Backlog
Leave a group,"As a member, I want to leave a group I no longer participate in.",Groups,Should Have,Backlog
View group members,"As a group member, I want to see who belongs to the group.",Groups,Must Have,Ready
Remove a group member,"As a group owner or admin, I want to remove a member who should no longer have access.",Groups,Could Have,Backlog
Regenerate a group invitation,"As a group owner, I want to invalidate an old invitation and create a new one.",Groups,Could Have,Backlog
Add a shared equipment item,"As a group member, I want to add equipment that one or several people need to bring for the group.",Shared Equipment,Must Have,Ready
Set a required quantity for a shared item,"As a group member, I want to define how many units are required so that coverage is clear.",Shared Equipment,Must Have,Ready
Claim responsibility for a shared item,"As a group member, I want to announce that I will bring a shared item.",Shared Equipment,Must Have,Ready
Claim part of a required quantity,"As a group member, I want to cover part of the required quantity so that several people can share responsibility.",Shared Equipment,Must Have,Ready
See who is bringing each shared item,"As a group member, I want to see who is responsible for each item and quantity so that we avoid duplicates and gaps.",Shared Equipment,Must Have,Ready
Mark a shared item as packed,"As a responsible member, I want to confirm that my assigned item has actually been packed.",Shared Equipment,Must Have,Ready
Bring an extra item for another member,"As a group member, I want to mark that I am bringing an extra unit for someone else.",Shared Equipment,Must Have,Ready
Transfer shared-item responsibility,"As a responsible member, I want to transfer an item to another member who accepts it.",Shared Equipment,Should Have,Backlog
Release shared-item responsibility,"As a responsible member, I want to state that I can no longer bring an item.",Shared Equipment,Must Have,Ready
Confirm why an assigned item was not packed,"As a responsible member, I must confirm whether I forgot the item, could not bring it, or arranged a replacement.",Shared Equipment,Must Have,Ready
Warn the group about an uncovered item,"As a group member, I want to be notified when required equipment is no longer covered.",Shared Equipment,Must Have,Ready
Take over a missing shared item,"As a group member, I want to take responsibility for a missing item immediately.",Shared Equipment,Must Have,Ready
View shared-item coverage status,"As a group member, I want to see whether each shared item is covered, partially covered, packed, missing, or replaced.",Shared Equipment,Must Have,Ready
Start a packing session,"As an athlete, I want to start preparing for an upcoming activity using my current checklist.",Packing,Must Have,Ready
Swipe or tap to confirm an item,"As an athlete, I want to mark each item as packed or not packed using swipe gestures or visible buttons.",Packing,Must Have,Ready
Confirm a reason for a missing item,"As an athlete, I want to provide a reason when an assigned item is not packed.",Packing,Must Have,Ready
Receive live missing-item alerts while packing,"As an athlete, I want to be notified during packing when another member forgets or releases an item.",Packing,Must Have,Ready
Accept responsibility from a live alert,"As an athlete, I want to take over a missing item directly from the alert without leaving the packing flow.",Packing,Must Have,Ready
See remaining mandatory items,"As an athlete, I want to see which mandatory personal items still prevent me from being ready.",Packing,Must Have,Ready
Review unresolved group items before finishing,"As an athlete, I want to review shared items that remain uncovered before completing the packing session.",Packing,Must Have,Ready
Complete a packing session,"As an athlete, I want to finish packing after acknowledging any unresolved mandatory issues.",Packing,Must Have,Ready
View personal and group readiness,"As an athlete, I want to see personal readiness and group readiness separately so that I know whether both I and the team are prepared.",Packing,Must Have,Ready
